ID,GO
PF3D7_0515600,GO:0006817
PF3D7_0222600,GO:0020033
PF3D7_0219600,GO:0005524
PF3D7_0828600,GO:0005886
PF3D7_1315100,GO:0006468
PF3D7_1011300,GO:0016021
PF3D7_1145000,GO:0003700
PF3D7_0310000,GO:0005840
PF3D7_0109850,GO:0004168
PF3D7_1122500,GO:0005634
PF3D7_0310300,GO:0003924
PF3D7_1234300,GO:0003677
PF3D7_0722100,GO:0071025
PF3D7_0320100,GO:0005783
PF3D7_1423700,GO:0005524
PF3D7_0209200,GO:0016020
PF3D7_1435600,GO:0003774
PF3D7_1034600,GO:0006413
PF3D7_1343000,GO:0008152
PF3D7_1147400,GO:0018343
PF3D7_1103700,GO:0005956
PF3D7_0620400,GO:0046658
PF3D7_1480000,GO:0020002
PF3D7_1022800,GO:0020011
PF3D7_1318700,GO:0005737
PF3D7_0102900,GO:0005524
PF3D7_1306600,GO:0015991
PF3D7_1204900,GO:0006810
PF3D7_1364200,GO:0005634
PF3D7_0930400,GO:0008270
PF3D7_1457800,GO:0005737
PF3D7_1113100,GO:0005737
PF3D7_0726300,GO:0006298
PF3D7_0322000,GO:0000413
PF3D7_1431700,GO:0005840
PF3D7_1202300,GO:0020011
PF3D7_1142400,GO:0005737
PF3D7_1015900,GO:0020020
PF3D7_0403500,GO:0000502
PF3D7_0407800,GO:0016020
PF3D7_1319000,GO:0016020
PF3D7_1245600,GO:0005524
PF3D7_0611400,GO:0005515
PF3D7_1011100,GO:0004519
PF3D7_0920600,GO:0005737
PF3D7_1105300,GO:0016020
PF3D7_0410700,GO:0005622
PF3D7_0111500,GO:0006139
PF3D7_1441700,GO:0008233
PF3D7_1114800,GO:0055114
PF3D7_0529000,GO:0020011
PF3D7_0413100,GO:0050839
PF3D7_1340700,GO:0016020
PF3D7_1015200,GO:0004817
PF3D7_1420500,GO:0016021
PF3D7_1218600,GO:0005524
PF3D7_1453500,GO:0055114
PF3D7_1148000,GO:0006468
PF3D7_0816400,GO:0005509
PF3D7_1359900,GO:0005737
PF3D7_1012500,GO:0005975
PF3D7_0500100,GO:0016021
PF3D7_0732500,GO:0020035
PF3D7_1451300,GO:0030915
PF3D7_1013900,GO:0003743
PF3D7_0610400,GO:0000786
PF3D7_1421400,GO:0003677
PF3D7_1418900,GO:0005524
PF3D7_1107600,GO:0005524
PF3D7_0935800,GO:0016337
PF3D7_1414400,GO:0005515
PF3D7_0213100,GO:0005829
PF3D7_1408900,GO:0055114
PF3D7_1353300,GO:0005737
PF3D7_1125100,GO:0015986
PF3D7_1313200,GO:0004479
PF3D7_0319200,GO:0020011
PF3D7_1017800,GO:0000166
PF3D7_0630200,GO:0005737
PF3D7_0510500,GO:0003918
PF3D7_0221400,GO:0020036
PF3D7_0217400,GO:0005622
PF3D7_1100400,GO:0020002
PF3D7_0623000,GO:0009073
PF3D7_1011700,GO:0043161
PF3D7_0919900,GO:0003774
PF3D7_0706400,GO:0005840
PF3D7_0608500,GO:0004298
PF3D7_0517300,GO:0005737
PF3D7_0420200,GO:0000287
PF3D7_1322700,GO:0016020
PF3D7_1100200,GO:0016337
PF3D7_0519600,GO:0008270
PF3D7_0532400,GO:0044164
PF3D7_0517200,GO:0005737
PF3D7_0511700,GO:0000408
PF3D7_0506100,GO:0042254
PF3D7_1201600,GO:0046777
PF3D7_1106700,GO:0008270
PF3D7_0632000,GO:0020003
PF3D7_0317100,GO:0003924
PF3D7_1034600,GO:0020011
PF3D7_0526200,GO:0005096
PF3D7_0913400,GO:0006412
PF3D7_1431800,GO:0017111
PF3D7_1401200,GO:0016020
PF3D7_0115200,GO:0020003
PF3D7_0221800,GO:0005524
PF3D7_1369000,GO:0006506
PF3D7_0200600,GO:0020013
PF3D7_1330600,GO:0005739
PF3D7_1108200,GO:0005737
PF3D7_0803600,GO:0015031
PF3D7_1250800,GO:0006289
PF3D7_1211500,GO:0003735
PF3D7_1310300,GO:0016020
PF3D7_0800500,GO:0020013
PF3D7_1133400,GO:0005515
PF3D7_1004800,GO:0005471
PF3D7_1005100,GO:0042274
PF3D7_0423300,GO:0005525
PF3D7_1444500,GO:0003824
PF3D7_0910900,GO:0006269
PF3D7_0209800,GO:0004004
PF3D7_1402100,GO:0031119
PF3D7_0522900,GO:0008270
PF3D7_0216600,GO:0016020
PF3D7_1420000,GO:0005681
PF3D7_0901500,GO:0020003
PF3D7_1320400,GO:0016020
PF3D7_1014600,GO:0016573
PF3D7_1117600,GO:0006415
PF3D7_0310100,GO:0006468
PF3D7_0733000,GO:0004872
PF3D7_1404900,GO:0009055
PF3D7_1215300,GO:0006986
PF3D7_0929300,GO:0005634
